"","fips","Group.1.x","X.x","lat.x","lon.x","place_lat.x","place_lon.x","isharassment.x","propanger","propfear","propanticipation","proptrust","propsurprise","propsadness","propjoy","propdisgust","proppos","propneg","Group.1.y","X.y","lat.y","lon.y","place_lat.y","place_lon.y","isharassment.y","numanger","numfear","numanticipation","numtrust","numsurprise","numsadness","numjoy","numdisgust","numpos","numneg","numwords","numtweets"
"1782",37035,37035,414268.271205357,35.7011472649777,-81.2682442021652,NA,NA,0.0100446428571429,0.00895454920240915,0.0105539708273043,0.0171428488050481,0.0228272974738889,0.00770424370941883,0.0103577817004778,0.0171516445752263,0.0092445633139219,0.0352939120420586,0.0181268570112222,37035,371184371,31988.22794942,-72816.34680514,NA,NA,9,120,136,235,310,105,134,219,115,474,231,16337,896
"1783",37037,37037,389078.603896104,35.7390600424675,-79.272428983961,NA,NA,0,0.00768041956524527,0.00869028632186527,0.018082748483912,0.0322441831153195,0.00763147262820359,0.00686064144710761,0.0162158598112796,0.00760624561889087,0.0411873814807081,0.0181296027331571,37037,59918105,5503.81524654,-12207.95406353,NA,NA,0,16,15,39,67,20,14,35,16,95,38,2404,154
"1784",37039,37039,271890.5,35.0870118578571,-84.0355824071429,NA,NA,0,0.00510204081632653,0.0156135531135531,0.016257957728546,0.0137944125018428,0.00285714285714286,0.0181318681318681,0.00705882352941176,0,0.0308873195947499,0.0177394034536892,37039,3806467,491.21816601,-1176.4981537,NA,NA,0,1,3,5,4,1,3,2,0,8,3,257,14
"1785",37041,37041,579167.6,36.0687834128,-76.6096865764,NA,NA,0,0.0236363636363636,0.0237037037037037,0.029442328042328,0.0210237816764133,0.0032,0.024327485380117,0.0161777777777778,0.0247719298245614,0.0283883040935673,0.0248888888888889,37041,14479190,901.71958532,-1915.24216441,NA,NA,0,2,3,14,11,2,3,9,3,15,3,447,25
"1786",37043,37043,626795.777777778,35.0371133022222,-83.8388325844444,NA,NA,0,0.00854700854700855,0.00854700854700855,0.0212962962962963,0.0212962962962963,0,0,0.0351851851851852,0.0123456790123457,0.0462962962962963,0.0242596909263576,37043,5641162,315.33401972,-754.54949326,NA,NA,0,1,1,2,2,0,0,3,1,5,3,143,9
"1787",37045,37045,470046.069565217,35.2757570123043,-81.5345473370652,NA,NA,0.00652173913043478,0.0112145491395768,0.00880320618200942,0.0263166705410739,0.0236750807507116,0.0126387301200786,0.00944929863668983,0.0231272485472276,0.0100188375008487,0.0402606785232654,0.0188253543879548,37045,216221192,16226.84822566,-37505.89177505,NA,NA,3,67,61,163,170,74,69,140,63,275,130,8724,460
"1788",37047,37047,480564.074766355,34.3125902230841,-78.6191925773832,NA,NA,0.0280373831775701,0.0125935271590779,0.0166600668207971,0.0207587753183294,0.0233687824618104,0.00795177481320409,0.0169913076955697,0.0225086758410519,0.0118480887968171,0.0410773698748437,0.0226076880906024,37047,51420356,3671.44715387,-8412.25360578,NA,NA,3,18,22,28,36,12,24,29,17,60,32,2685,107
"1789",37049,37049,518907.657559199,35.0600172545902,-77.0392844967942,NA,NA,0.00910746812386157,0.013007749755415,0.0123324947809912,0.0193950630310623,0.0230143757690191,0.0107459108844887,0.0109378018904203,0.0186588001373048,0.0105815329591455,0.0321859970631759,0.0246588185630844,37049,284880304,19247.94947277,-42294.56718874,NA,NA,5,93,69,132,161,59,72,122,82,222,166,9633,549
"1790",37051,37051,468075.55021248,35.0538952761418,-78.9843229851219,NA,NA,0.0116305077163945,0.0132037215786402,0.013132991177323,0.0200773531833819,0.0221701651279581,0.0101978399080371,0.0120589914802355,0.0180644756611644,0.0110829305823615,0.0334123950499866,0.0243559049058261,37051,2092765785,156725.96577963,-353138.90806648,NA,NA,52,770,761,1210,1405,601,734,1084,648,2133,1431,78213,4471
"1791",37057,37057,432756.012106538,35.8490691427119,-80.1962768573124,NA,NA,0.00242130750605327,0.00993152493924369,0.0073147135361639,0.0248147500506147,0.0267839721871531,0.0121815946759154,0.0072561391575617,0.0276786350940048,0.00603832137284249,0.0447577998068164,0.0194409164594488,37057,178728233,14805.66555594,-33121.06234207,NA,NA,1,50,47,120,147,59,51,133,41,242,103,6861,413
"1792",37059,37059,510095.232758621,35.9393740617241,-80.5106855581034,NA,NA,0.00862068965517241,0.0168183261009336,0.00632258144772049,0.0362921931838753,0.0347951668910543,0.0207600007225021,0.00565656565656566,0.0306734497212867,0.00444879632171067,0.055760200481209,0.0084382463179061,37059,59171047,4168.96739116,-9339.23952474,NA,NA,1,19,11,48,46,23,12,35,10,78,20,1908,116
"1793",37061,37061,419279.276595745,34.8809794568085,-77.95926228,NA,NA,0,0.00721437511174683,0.00258358662613982,0.00884525142643844,0.0340507218191495,0.00370340745480723,0.00253292806484296,0.0141184825757647,0.00293819655521783,0.0519126657729187,0.00822754633768401,37061,19706126,1639.40603447,-3664.08532716,NA,NA,0,5,2,7,26,3,2,9,2,35,6,758,47
"1794",37063,37063,447588.45787234,35.9889671605404,-78.8967838837121,NA,NA,0.0124822695035461,0.0133455984358473,0.0111424184924829,0.0176836918919072,0.019733684358374,0.00868058646392686,0.0117364855281677,0.0164170966328479,0.0111796866247369,0.0340230675343699,0.025454008292236,37063,NA,253722.21848181,-556222.32638017,NA,NA,88,1268,1084,1812,2058,857,1171,1683,1012,3543,2351,126992,7050
"1795",37065,37065,478025.563636364,35.9061575662727,-77.5635295539091,NA,NA,0,0.0144265082798726,0.00584421094757526,0.0170085272030829,0.015744864592157,0.00526948622304354,0.00606099273430398,0.020630135671,0.00689015533718199,0.0301244826645669,0.0238279637162517,37065,52582812,3949.67733229,-8531.98825093,NA,NA,0,19,12,28,24,8,11,26,9,42,29,1829,110
"1796",37067,37067,484024.060091324,36.0911248885826,-80.2434225414721,NA,NA,0.011689497716895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37067,NA,197598.90876499,-439332.73841456,NA,NA,64,904,880,1545,1633,643,864,1379,711,2718,1688,93920,5475
"1797",37069,37069,400060.010752688,36.0820957567742,-78.3285195152688,NA,NA,0.010752688172043,0.0130476815833352,0.00823457354442074,0.0190903281777645,0.0168433710446594,0.00936347105701944,0.0147542052677876,0.0169500541274735,0.0144588708468165,0.0350808064198157,0.0339119306683973,37069,37205581,3355.63490538,-7284.55231492,NA,NA,1,12,10,24,24,10,18,20,16,41,29,1798,93
"1798",37071,37071,504173.695459579,35.2587960100831,-81.1304337488261,NA,NA,0.00941306755260244,0.0112851492288309,0.0100130080994849,0.017912789223425,0.0186150801399477,0.00860488566260456,0.0107566248618838,0.0197536872880251,0.00964852083948833,0.0339793036191406,0.0214562606681395,37071,910537694,63677.38559421,-146521.56335038,NA,NA,17,264,248,439,461,218,266,482,220,851,485,33634,1806
"1799",37073,37073,101196,36.40208949,-76.736994156,NA,NA,0,0,0,0.0299145299145299,0.0222222222222222,0.00769230769230769,0,0.0230769230769231,0.00769230769230769,0.0715937657114128,0,37073,505980,182.01044745,-383.68497078,NA,NA,0,0,0,3,2,1,0,3,1,7,0,97,5
"1800",37075,37075,1454204,35.34257994,-83.89112484,NA,NA,0,0.05,0.05,0.05,0.1,0.05,0.05,0.15,0.05,0.15,0.05,37075,1454204,35.34257994,-83.89112484,NA,NA,0,1,1,1,2,1,1,3,1,3,1,20,1
"1801",37077,37077,544209.306122449,36.1973904605102,-78.6609527526531,NA,NA,0.0102040816326531,0.0194701082955298,0.0154121129169272,0.0254898893020389,0.0317511290824987,0.0101162152231493,0.0126097650468154,0.0214272464907387,0.00872625479902601,0.0482251175356965,0.0256099710729389,37077,53332512,3547.34426513,-7708.77336976,NA,NA,1,13,17,32,45,16,16,32,10,69,22,1450,98
"1802",37079,37079,383999.2,35.4496829,-77.59663694,NA,NA,0,0,0.005,0.005,0.0319642242862057,0.005,0,0,0,0.0319642242862057,0.0108823529411765,37079,3839992,354.496829,-775.9663694,NA,NA,0,0,1,1,6,1,0,0,0,6,2,180,10
"1803",37081,37081,457418.108017636,36.0804707019848,-79.8637994738676,NA,NA,0.0126551273677335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37081,NA,441913.60515791,-978171.81595593,NA,NA,155,2017,1748,3085,3143,1372,1742,2776,1601,5375,3668,212545,12248
"1804",37083,37083,398093.74137931,36.4037343142241,-77.6495655961207,NA,NA,0.00862068965517241,0.00945756018794379,0.00846936924412892,0.0157377615609871,0.019083742160891,0.00378541966383138,0.00699656738039183,0.00917753008890327,0.00843933161046628,0.0261279940408085,0.0172002521014615,37083,46178874,4222.83318045,-9007.34960915,NA,NA,1,17,13,33,38,9,14,19,17,52,34,2135,116
"1805",37085,37085,469518.954939341,35.3618128047834,-78.7598039938995,NA,NA,0.00866551126516464,0.010085779672298,0.00765684482255848,0.0156949957233076,0.0195866922913291,0.0110282498927775,0.00828314844672135,0.019722617100631,0.0096166943723315,0.0329860768412934,0.0200828382979181,37085,270912437,20403.76598836,-45444.40690448,NA,NA,5,90,69,152,171,88,72,169,77,297,175,13166,577
"1806",37087,37087,494752.131868132,35.5167339078571,-82.9365196862637,NA,NA,0,0.00649127526614264,0.00709785898908822,0.0224129095345064,0.0302187241909706,0.00909335163267823,0.00878387692183157,0.0210877290021999,0.00819592320887785,0.0448096717398447,0.0185142917552684,37087,90044888,6464.04557123,-15094.4465829,NA,NA,0,17,19,57,84,24,22,57,16,121,43,3003,182
"1807",37089,37089,482507.312127237,35.341810526004,-82.4772298654274,NA,NA,0.00397614314115308,0.00699080191404636,0.00980523028477899,0.0223886249506031,0.0285148890854813,0.0111956090110401,0.00960055942682517,0.0197699658301472,0.00920048125020709,0.0441408410078744,0.0162032376669672,37089,242701178,17776.93069458,-41486.04662231,NA,NA,2,52,70,176,224,77,74,137,59,331,121,8333,503
"1808",37091,37091,435644.139097744,36.3874916627068,-77.0583730203007,NA,NA,0.0150375939849624,0.0108697446330795,0.0134349739245664,0.0135785440907133,0.0156421092970882,0.00785538099025558,0.0130322616473596,0.0125219116208312,0.0126419648774243,0.0237626486355643,0.022514496349553,37091,115881341,9679.07278228,-20497.5272234,NA,NA,4,35,45,53,58,29,39,48,38,90,79,5002,266
"1809",37093,37093,312871.893203883,34.983174288835,-79.1952877294175,NA,NA,0.0194174757281553,0.0157697892266777,0.0114125252567882,0.0118476033713093,0.012264554232596,0.00488718249749213,0.0124763576741329,0.00775257918536294,0.0150037314956558,0.0199050244388789,0.0250953242914111,37093,32225805,3603.26695175,-8157.11463613,NA,NA,2,25,19,21,23,9,22,16,22,37,39,1915,103
"1810",37097,37097,447818.609756098,35.6166220594686,-80.8625970502091,NA,NA,0.00609756097560976,0.00753646662359358,0.00902696754540101,0.0188621612564491,0.0258705738368719,0.00834896149944418,0.00934597092044367,0.0174423710599494,0.00699809931063594,0.0396243242650024,0.0154410078757063,37097,514095764,40887.88212427,-92830.26141364,NA,NA,7,135,169,369,481,160,174,310,121,729,272,20376,1148
"1811",37099,37099,396467.824267782,35.3170819397768,-83.1844031537517,NA,NA,0.0097629009762901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37099,284267430,25322.34775082,-59643.21706124,NA,NA,7,89,96,209,216,103,109,190,79,340,202,12739,717
"1812",37101,37101,473666.797244094,35.605856429685,-78.3554318136417,NA,NA,0.00131233595800525,0.00258198373345435,0.00246003646928349,0.00881333007985377,0.0083115714286971,0.00424150510637712,0.00446732834152592,0.00646645857619596,0.00212693325896142,0.0130904350147841,0.00680008855126025,37101,721868199,54263.32519884,-119413.67808399,NA,NA,2,58,63,232,217,102,114,164,52,332,160,29942,1524
"1813",37103,37103,572279,35.0059914,-77.2210654,NA,NA,0,0,0,0,0.0833333333333333,0,0,0,0,0.0555555555555556,0,37103,1144558,70.0119828,-154.4421308,NA,NA,0,0,0,0,3,0,0,0,0,2,0,37,2
"1814",37105,37105,486638.04109589,35.4766692904794,-79.168186895411,NA,NA,0.00342465753424658,0.00737095530958714,0.0099644486972989,0.0437687816006752,0.0378089893053494,0.0228895896301252,0.0170329693404505,0.0275011328506973,0.00584513466999676,0.0433499611917754,0.0206483159968338,37105,142098308,10359.18743282,-23117.11057346,NA,NA,1,24,34,198,179,100,74,124,24,195,72,5222,292
"1815",37107,37107,414073.793877551,35.2665125086939,-77.5918950063674,NA,NA,0.00408163265306122,0.00272670828793278,0.00638300122961919,0.0116212083384203,0.0265930522217701,0.00468140618371252,0.00751889921841587,0.012052587637627,0.00682108603295499,0.0396608221695946,0.00586169355017874,37107,202896159,17280.59112926,-38020.02855312,NA,NA,2,23,63,99,225,34,71,75,60,314,48,9319,490
"1816",37109,37109,447354.383259912,35.480338070044,-81.1352585193833,NA,NA,0.00881057268722467,0.0118255235871252,0.0146023845856757,0.0222043098669362,0.0259279642912371,0.00874293659740863,0.0109582802593317,0.0217554888390363,0.00810945732284776,0.0403149471175018,0.0234816927212209,37109,101549445,8054.0367419,-18417.7036839,NA,NA,2,26,34,86,94,34,27,77,22,150,58,3824,227
